ID_Pessoa,ID_Investidor,Nome,catalog_entity_id,catalog_person_id,accao,nota_outra_firma
PER0043,INV007,Niklas Zennström,45345e6e-459a-4cef-894d-e6f055a53cfe,,CRIAR,
PER0044,INV007,Ben Blume,45345e6e-459a-4cef-894d-e6f055a53cfe,,CRIAR,
PER0045,INV007,Laura Connell,45345e6e-459a-4cef-894d-e6f055a53cfe,,CRIAR,
PER0046,INV007,Sasha Vidiborskiy,45345e6e-459a-4cef-894d-e6f055a53cfe,,CRIAR,
PER0047,INV007,Hillary Ball,45345e6e-459a-4cef-894d-e6f055a53cfe,,CRIAR,
PER0048,INV007,Joen Bonnier,45345e6e-459a-4cef-894d-e6f055a53cfe,,CRIAR,
PER0049,INV008,Bernard Liautaud,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0050,INV008,Daniel Waterhouse,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0051,INV008,Rob Moffat,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0052,INV008,James Wise,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0053,INV008,Rana Yared,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0054,INV008,Greta Anderson,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0055,INV008,Elena Moneta,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0056,INV008,Claudia Rowe,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0057,INV008,Shikha Ahluwalia,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0058,INV008,Sivesh Sukumar,8fc3f167-a6d5-4dc1-8054-8cc1e8c84955,,CRIAR,
PER0059,INV009,Filip Dames,bf17944b-d344-4333-b108-5f5c26fb13a1,6f391b43-a3f4-4146-ae79-5772ec114e0b,ACTUALIZAR,
PER0060,INV009,Christian Meermann,bf17944b-d344-4333-b108-5f5c26fb13a1,091956f0-537e-4cbb-af0b-23b3e9859a8f,ACTUALIZAR,
PER0061,INV009,Dinika Mahtani,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0062,INV009,Sophia Bendz,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0063,INV009,Victor Huerbe,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0064,INV009,Nadja Reischel,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0065,INV009,Lily Petherick,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0066,INV009,Julius de Gruyter,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0067,INV009,Patrick Doran,bf17944b-d344-4333-b108-5f5c26fb13a1,,CRIAR,
PER0068,INV010,Staffan Helgesson,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,8a6ec661-418b-40b4-80c5-d9d63957fe49,ACTUALIZAR,
PER0069,INV010,Carl Fritjofsson,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,a8b8f8b4-be98-41a5-b936-a98e00b12b59,ACTUALIZAR,
PER0070,INV010,Fredrik Cassel,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,c755b767-92dc-4bc7-8454-9984f9eb3a67,ACTUALIZAR,
PER0071,INV010,Simon Schmincke,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,904c4358-9cfa-46bd-a198-06b49d8097c5,ACTUALIZAR,
PER0072,INV010,Peter Specht,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,799fa0aa-03d9-4fda-b0f7-345b7b82dfbf,ACTUALIZAR,
PER0073,INV010,Jakob Stein,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,67d129e6-f7df-4905-ad4a-b46b73350eb9,ACTUALIZAR,
PER0074,INV010,Clara Leise,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,3e5ba400-df4d-4cb5-9221-ea468a9c5e48,ACTUALIZAR,
PER0075,INV010,Cam Sellers,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,4a723e93-6644-4295-bc94-625451cd6af7,ACTUALIZAR,
PER0076,INV010,Hanel Baveja,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,3afa0ea5-ea14-4808-837d-db0f95915c51,ACTUALIZAR,
PER0077,INV010,Richard Keuntje,f1398f3c-48bf-4dcf-a4c0-ea299ea00374,f3af0ac3-092e-4d72-932b-f04371018424,ACTUALIZAR,
